id,name,group,recorded_at,method_family,execution_backend,transport,model,reasoning_effort,fixed_config_id,step_exact,step_module_exact,all_correct,n,failed_outputs,status,eligible,fresh_end_to_end,semantic_parent,mechanism,metrics_path,fixed_config
R138,luna-gaia-v3.8,GAIA-smoke-30,2026-08-15T12:13:39+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,15,12,9,30,0,complete_scored,True,True,,lane_ordered_chronology_with_precommit_step_ledger_checkpoint_packet_fence_positive_capability_action_materiality_and_structured_lane_a_claim_support,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p8-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R139,luna-gaia-v3.9,GAIA-smoke-30,2026-08-15T12:44:02+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,14,10,7,30,0,complete_scored,True,True,,lane_ordered_chronology_with_validated_step_candidate_ledger_checkpoint_packet_fence_and_static_document_capability_outcome_separation,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p9-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R140,luna-gaia-v3.10,GAIA-smoke-30,2026-08-15T13:04:36+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-b698fed6e5,14,10,8,30,0,complete_scored,True,True,,lane_ordered_chronology_with_validated_step_candidate_ledger_checkpoint_packet_fence_literal_pdf_capability_outcome_rule_and_shell_safe_compact_validation,output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p10-case30/scored/metrics.json,"{""case_set_sha256"": ""500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [30, 30, 30], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R141,luna-gaia-v3.4,GAIA-50,2026-08-15T14:30:26+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-eba31d762c,21,13,10,50,0,complete_scored,True,True,,lane_ordered_chronology_with_validated_step_candidate_ledger_step_checkpoint_and_external_exception_packet_fence,output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p4-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R142,v2.4-global-census,GAIA-50,2026-08-15T16:30:57+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-terra,medium,C-9b84a213ad,11,6,4,50,0,complete_scored,True,True,,complete_local_pair_census_global_critical_root_new_defect_owner,output/agenterrorbench-codex-gpt-5.6-terra-gaia-paper-v1-agent-judge-v2p4-global-census-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-terra"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""case"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R143,two-stage-v1,GAIA-50,2026-08-15T18:17:02+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-sol,high,C-dc60f146e4,15,5,2,50,0,complete_scored,True,True,,one fresh high-recall unranked candidate-proposer followed by one fresh closed-set causal root arbiter; frozen same-case proposal carry-forward,output/agenterrorbench-codex-gpt-5.6-sol-high-gaia-paper-v1-agent-judge-two-stage-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-sol"", ""high""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 2, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R144,serial-v2,GAIA-50,2026-08-16T02:26:36+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-2a8a7daba1,15,9,5,50,0,complete_scored,True,False,,reuse the complete frozen gold-free Sol candidate and Luna Step lineage from invalid serial-v1; replay fresh Luna-medium Module and Type sessions for every case with deterministic validator-owned evidence sources,output/agenterrorbench-codex-sol-luna-gaia-paper-v2-agent-judge-serial-v2-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": false, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""], [""gpt-5.6-sol"", ""high""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 2, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R145,forced-census-v1,GAIA-50,2026-08-16T05:56:42+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-sol,high,C-ff08abb443,13,6,5,50,0,complete_scored,True,True,,"five fresh isolated module specialists each forced to review every step, deterministic extraction and merge of all error hypotheses, then one fresh Sol-high global joint step/module/type root arbiter",output/agenterrorbench-codex-sol-high-gaia-paper-v1-agent-judge-forced-census-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-sol"", ""high""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 6, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R146,causal-serial-v1,GAIA-50,2026-08-16T07:13:23+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,C-fbf0600fe2,16,8,6,50,0,complete_scored,True,False,,"reuse only frozen gold-free forced-census hypotheses through a deterministic label-hidden all-step dossier; fresh Luna-medium Step, fresh Sol-high Module, then fresh Sol-high Type for every case",output/agenterrorbench-codex-luna-sol-gaia-paper-v2-agent-judge-causal-serial-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": false, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.6-luna"", ""medium""], [""gpt-5.6-sol"", ""high""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R147,official-phase2-v1,GAIA-50,2026-08-16T08:00:33+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.5,xhigh,C-3b02b6db5e,16,4,4,50,0,complete_scored,True,False,,reuse only five frozen gold-free all-step Phase1 module censuses through an exact official-format projection; one fresh gpt-5.5/xhigh joint Phase2 judge per case may select any step/module/type,output/agenterrorbench-codex-gpt-5.5-xhigh-gaia-paper-v3-agent-judge-official-phase2-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": false, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.5"", ""xhigh""], [""gpt-5.6-sol"", ""high""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 1, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R148,raw-causal-serial-v1,GAIA-50,2026-08-16T09:37:58+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.5,xhigh,C-e2411721b1,17,8,4,50,0,complete_scored,True,True,,"fresh label-free complete-raw-trajectory Step, then fresh selected-step information-flow Module, then fresh late-bound Type; all gpt-5.5/xhigh",output/agenterrorbench-codex-gpt-5.5-xhigh-gaia-paper-v4-agent-judge-raw-causal-serial-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.5"", ""xhigh""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 3, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
R149,faithful-local-v1,GAIA-50,2026-08-16T11:44:34+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.5,xhigh,C-2d7e3ff72a,16,9,7,50,0,complete_scored,True,True,,"four fresh official-local temporally bounded Phase1 module reviewers, positive-only deterministic merge, then fresh unrestricted joint Phase2",output/agenterrorbench-codex-luna-gpt5.5-gaia-paper-v5-agent-judge-faithful-local-v1-case50/scored/metrics.json,"{""case_set_sha256"": ""ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4"", ""cross_case_state_visible"": false, ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""fresh_end_to_end"": true, ""max_output_tokens"": null, ""max_semantic_attempts"": 2, ""metric_denominators"": [50, 50, 50], ""models_and_efforts"": [[""gpt-5.5"", ""xhigh""], [""gpt-5.6-luna"", ""medium""]], ""one_trajectory_per_session"": 1, ""planned_fresh_sessions_per_case"": 5, ""sdk_or_host_version"": ""not_recorded"", ""semantic_attempt_unit"": ""stage"", ""temperature"": null, ""timeout_seconds"": null, ""transport"": ""Codex agent/subagent"", ""transport_retry_budget"": ""not_recorded"", ""workers"": 4}"
