trajectory_id,environment,source_llm,method,status,failure_stage,failure_code,gold_step,gold_event_id,gold_raw_module,gold_module,gold_raw_error_type,gold_error_type,predicted_step,judge_reported_step,predicted_event_id,predicted_module,predicted_error_type,step_exact,step_module_exact,all_correct,specialist_finding_count,latency_seconds,cache_hit,model,temperature,prompt_version,trajectory_sha256
GPT-4o_011_memory_b001_t00_e03-21a3a421,gaia,GPT-4o,agent_judge,success,,,3,agent_error_bench:6d5961d1a59bbc79:message:6,memory,memory,over_simplification,over_simplification,7,7,agent_error_bench:6d5961d1a59bbc79:message:14,action,misalignment,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,6d5961d1a59bbc7995a8e8299025a397474e6aa06b48c606ac218035b13c6508
GPT-4o_012_memory_b001_t00_e04-5e8c1dcf,gaia,GPT-4o,agent_judge,success,,,5,agent_error_bench:6916f49b67994dc1:message:10,action,action,Parameter_error,parameter_error,5,5,agent_error_bench:6916f49b67994dc1:message:10,memory,over_simplification,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,6916f49b67994dc1af910f87a789f90ee0d8e86e0259539b466e76bd1dbbe6cc
GPT-4o_013_memory_b001_t00_e05-c9015705,gaia,GPT-4o,agent_judge,success,,,5,agent_error_bench:b5648b8bc22beab1:message:10,action,action,parameter_error,parameter_error,5,5,agent_error_bench:b5648b8bc22beab1:message:10,planning,constraint_ignorance,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,b5648b8bc22beab153f4859a00435c888174eb703833d20eb8f809db0e39fdf4
GPT-4o_014_memory_b001_t00_e06-71f77595,gaia,GPT-4o,agent_judge,success,,,7,agent_error_bench:dd3dc2eee2173bfa:message:14,planning,planning,inefficient_plan,inefficient_plan,3,3,agent_error_bench:dd3dc2eee2173bfa:message:6,planning,impossible_action,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,dd3dc2eee2173bfa92b165a758a38f07b10a9a416a9f6b27887add5f55d79e81
GPT-4o_015_memory_b001_t00_e07-f5b5d66a,gaia,GPT-4o,agent_judge,success,,,4,agent_error_bench:6cce935b4358224d:message:8,reflection,reflection,outcome_misinterpretation,outcome_misinterpretation,4,4,agent_error_bench:6cce935b4358224d:message:8,system,tool_execution_error,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,6cce935b4358224d36f477327804e12b7da3a3cb45a20fb9f33c829b9d695530
GPT-4o_016_memory_b001_t00_e08-f572f2ad,gaia,GPT-4o,agent_judge,success,,,2,agent_error_bench:0b35a0b6e4f519a2:message:4,planning,planning,inefficient_plan,inefficient_plan,2,2,agent_error_bench:0b35a0b6e4f519a2:message:4,planning,inefficient_plan,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,0b35a0b6e4f519a238e686249c6cbc5a103efca6773e91fcc2d8b56234cd6c4f
Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,6,agent_error_bench:2da1d3710864d5b5:message:12,planning,planning,inefficient_plan,inefficient_plan,4,4,agent_error_bench:2da1d3710864d5b5:message:8,planning,inefficient_plan,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,2da1d3710864d5b5efed0faa965434f5938437a04982e7207edec20b82ca6a20
Llama3.3-70B-Turbo_002_memory_b000_t00_e01-7ab08a46,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,10,agent_error_bench:726ebaa52222395c:message:20,planning,planning,inefficient_plan,inefficient_plan,7,7,agent_error_bench:726ebaa52222395c:message:14,planning,impossible_action,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,726ebaa52222395cf6a2f8cfd34a5c9afd88173cf0a5fb7c7f44954f201ebdb1
Llama3.3-70B-Turbo_003_memory_b000_t00_e02-8d639e26,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,2,agent_error_bench:944c488df90a60bf:message:4,action,action,misalignment,misalignment,2,2,agent_error_bench:944c488df90a60bf:message:4,memory,over_simplification,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,944c488df90a60bfdaeda1b9e144b056c39010265c0c84814376fbea808cbdfb
Llama3.3-70B-Turbo_004_memory_b000_t00_e03-21a3a421,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,1,agent_error_bench:9de7a8deca70740f:message:2,planning,planning,constraint_ignorance,constraint_ignorance,1,1,agent_error_bench:9de7a8deca70740f:message:2,planning,constraint_ignorance,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,9de7a8deca70740f440c967214b5ad315ec0a8e7c6c785d3d387b472fc7c2e26
Llama3.3-70B-Turbo_005_memory_b000_t00_e04-5e8c1dcf,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,1,agent_error_bench:6080c812b684c966:message:2,system,system,tool_execution_error ,tool_execution_error,1,1,agent_error_bench:6080c812b684c966:message:2,system,tool_execution_error,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,6080c812b684c966c3e56f3aabdf24fae857a6ef22a284e837f2ad64af864ef1
Llama3.3-70B-Turbo_006_memory_b000_t00_e05-c9015705,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,6,agent_error_bench:483b822edc64dc05:message:12,reflection,reflection,progress_misjudge,progress_misjudge,3,3,agent_error_bench:483b822edc64dc05:message:6,reflection,progress_misjudge,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,483b822edc64dc0593f4a5835b4a5d4f55d38ba83284ab453090fd78cf315964
Llama3.3-70B-Turbo_007_memory_b000_t00_e08-f572f2ad,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,1,agent_error_bench:0e5d0076445ac6fa:message:2,action,action,parameter_error,parameter_error,1,1,agent_error_bench:0e5d0076445ac6fa:message:2,action,parameter_error,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,0e5d0076445ac6faa84b1e7534d8328e7ffc003dcba13959ab2119878dff07dd
Llama3.3-70B-Turbo_008_memory_b000_t00_e09-f0557a9f,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,7,agent_error_bench:70b9eb57b8325829:message:14,planning,planning,impossible_action,impossible_action,7,7,agent_error_bench:70b9eb57b8325829:message:14,planning,impossible_action,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,70b9eb57b8325829f03344c66baafbe740611f3b13589f4963733b888d3f2da0
Llama3.3-70B-Turbo_009_memory_b001_t00_e00-7743eba0,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,4,agent_error_bench:8aef4c6db4f6a69a:message:8,memory,memory,hallucination,hallucination,9,9,agent_error_bench:8aef4c6db4f6a69a:message:18,memory,hallucination,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,8aef4c6db4f6a69a87cf7fa0c3cdb4a75b62bafc46d10e0d186f9b97ecd99020
Llama3.3-70B-Turbo_010_memory_b001_t00_e01-7ab08a46,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,2,agent_error_bench:ba819fcfb4c8f772:message:4,memory,memory,over_simplification,over_simplification,4,4,agent_error_bench:ba819fcfb4c8f772:message:8,planning,constraint_ignorance,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,ba819fcfb4c8f7725eeefa1b601d1a5dd082243aab92ae984fdfe2441ccb1a37
Llama3.3-70B-Turbo_011_memory_b001_t00_e02-8d639e26,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,3,agent_error_bench:4deb4a37d3b7760f:message:6,planning,planning,inefficient_plan,inefficient_plan,2,2,agent_error_bench:4deb4a37d3b7760f:message:4,memory,over_simplification,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,4deb4a37d3b7760f5bcb4a272ff10a3f9db520492ba07c9b0cc36685cadfff64
Llama3.3-70B-Turbo_012_memory_b001_t00_e03-21a3a421,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,4,agent_error_bench:3a3f106dfb23f883:message:8,reflection,reflection,outcome_misinterpretation,outcome_misinterpretation,5,5,agent_error_bench:3a3f106dfb23f883:message:10,reflection,progress_misjudge,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,3a3f106dfb23f883a616cd16e2cee45b5e4a66cbb83f9bedfea7661e517d2929
Llama3.3-70B-Turbo_013_memory_b001_t00_e04-5e8c1dcf,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,2,agent_error_bench:170ed42108edebcd:message:4,reflection,reflection,progress_misjudge,progress_misjudge,2,2,agent_error_bench:170ed42108edebcd:message:4,memory,over_simplification,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,170ed42108edebcd426c5a13d9bb4552d4f4c6bd5f6039a32735ba42a394ed3e
Llama3.3-70B-Turbo_014_memory_b001_t00_e05-c9015705,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,4,agent_error_bench:716f788378f8f571:message:8,system,system,tool_execution_error,tool_execution_error,4,4,agent_error_bench:716f788378f8f571:message:8,memory,over_simplification,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,716f788378f8f571efe47ab85b0139745677c8b046ef0ebbbcb9719b9c4d784b
Llama3.3-70B-Turbo_015_memory_b001_t00_e06-71f77595,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,1,agent_error_bench:a7b3904d997ffe05:message:2,action,action,misalignment,misalignment,4,4,agent_error_bench:a7b3904d997ffe05:message:8,planning,constraint_ignorance,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,a7b3904d997ffe054bc12b4de534680db960dc842a61f87495eae458ff137f21
Llama3.3-70B-Turbo_016_memory_b001_t00_e07-f5b5d66a,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,8,agent_error_bench:640fbde9660d4037:message:16,planning,planning,inefficient_plan,inefficient_plan,4,4,agent_error_bench:640fbde9660d4037:message:8,reflection,outcome_misinterpretation,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,640fbde9660d40374495042f57a7cf2df3a21d61bf408e842f73eba974aae111
Llama3.3-70B-Turbo_017_memory_b001_t00_e08-f572f2ad,gaia,Llama3.3-70B-Turbo,agent_judge,success,,,2,agent_error_bench:e8d982cbd1cc4c74:message:4,planning,planning,inefficient_plan,inefficient_plan,2,2,agent_error_bench:e8d982cbd1cc4c74:message:4,planning,inefficient_plan,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,e8d982cbd1cc4c7443bdc363ef63e47b48ca301f32d9658b57e65ea5fed9ed91
Qwen3-8B_001_memory_b000_t00_e00-7743eba0,gaia,Qwen3-8B,agent_judge,success,,,2,agent_error_bench:55867ff05fda444c:message:4,planning,planning,impossible_action,impossible_action,3,3,agent_error_bench:55867ff05fda444c:message:6,planning,inefficient_plan,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,55867ff05fda444cddf110b202f2fdb349d8eb89588ea7eb9ac70cbcea1b4d52
Qwen3-8B_002_memory_b000_t00_e01-7ab08a46,gaia,Qwen3-8B,agent_judge,success,,,4,agent_error_bench:47405469f3235872:message:8,planning,planning,inefficient_plan,inefficient_plan,2,2,agent_error_bench:47405469f3235872:message:4,planning,inefficient_plan,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,47405469f3235872d32c6258ec1341841bd57219a13162768d44a90117c95883
Qwen3-8B_003_memory_b000_t00_e02-8d639e26,gaia,Qwen3-8B,agent_judge,success,,,2,agent_error_bench:ac53174eecbec3a6:message:4,planning,planning,inefficient_plan,inefficient_plan,2,2,agent_error_bench:ac53174eecbec3a6:message:4,planning,constraint_ignorance,True,True,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,ac53174eecbec3a68fbd5162bf278836eb3099b37842a4732b8faeeb0b2aa888
Qwen3-8B_004_memory_b000_t00_e04-5e8c1dcf,gaia,Qwen3-8B,agent_judge,success,,,1,agent_error_bench:12b0cb5468aa5adf:message:2,planning,planning,constraint_ignorance,constraint_ignorance,1,1,agent_error_bench:12b0cb5468aa5adf:message:2,planning,constraint_ignorance,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,12b0cb5468aa5adf6042e62471d35e8887c297598b0e4a2a06819d116c74e32d
Qwen3-8B_005_memory_b000_t00_e05-c9015705,gaia,Qwen3-8B,agent_judge,success,,,3,agent_error_bench:f23925c3a3b639cc:message:6,planning,planning,inefficient_plan,inefficient_plan,3,3,agent_error_bench:f23925c3a3b639cc:message:6,planning,constraint_ignorance,True,True,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,f23925c3a3b639cc9cb96f9a32aeb581a18d30d731900e917d9286add6ef48ec
Qwen3-8B_006_memory_b000_t00_e06-71f77595,gaia,Qwen3-8B,agent_judge,success,,,1,agent_error_bench:884a54b25ae9cdf5:message:2,system,system,llm_limit,llm_limit,1,1,agent_error_bench:884a54b25ae9cdf5:message:2,planning,constraint_ignorance,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,884a54b25ae9cdf5fca2a7f171377141c512de933b24ea7d4b728119bb57f0cb
Qwen3-8B_007_memory_b000_t00_e07-f5b5d66a,gaia,Qwen3-8B,agent_judge,success,,,2,agent_error_bench:f966bfcf1e10173a:message:4,planning,planning,inefficient_plan,inefficient_plan,3,3,agent_error_bench:f966bfcf1e10173a:message:6,planning,inefficient_plan,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,f966bfcf1e10173aa512d00e9d2c7befd9448d22c094dd986031c9e15314cd9b
Qwen3-8B_008_memory_b000_t00_e08-f572f2ad,gaia,Qwen3-8B,agent_judge,success,,,2,agent_error_bench:a2b72d6caff9df88:message:4,reflection,reflection,outcome_misinterpretation,outcome_misinterpretation,3,3,agent_error_bench:a2b72d6caff9df88:message:6,planning,constraint_ignorance,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,a2b72d6caff9df883b35185b0017e3820a58420fd38f40b5baeb86203624a7b1
Qwen3-8B_009_memory_b000_t00_e09-f0557a9f,gaia,Qwen3-8B,agent_judge,success,,,4,agent_error_bench:ae746abf7c860add:message:8,planning,planning,inefficient_plan,inefficient_plan,4,4,agent_error_bench:ae746abf7c860add:message:8,planning,inefficient_plan,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,ae746abf7c860add6fbe4be0650509e4cef242ee2fdc200480acb2ee822752a3
Qwen3-8B_010_memory_b001_t00_e00-7743eba0,gaia,Qwen3-8B,agent_judge,success,,,1,agent_error_bench:3d857bec2b8fcc92:message:2,planning,planning,constraint_ignorance,constraint_ignorance,1,1,agent_error_bench:3d857bec2b8fcc92:message:2,planning,constraint_ignorance,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,3d857bec2b8fcc9224246bbcd2a7cca1a9a2e7a19c278e583089ae4d38763067
Qwen3-8B_011_memory_b001_t00_e01-7ab08a46,gaia,Qwen3-8B,agent_judge,success,,,5,agent_error_bench:f37f61a87825e765:message:10,system,system,tool_execution_error,tool_execution_error,5,5,agent_error_bench:f37f61a87825e765:message:10,planning,constraint_ignorance,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,f37f61a87825e765bd8f2fa3193fb8e38f7b4717e104d7b3e66196607da245bf
Qwen3-8B_012_memory_b001_t00_e02-8d639e26,gaia,Qwen3-8B,agent_judge,success,,,2,agent_error_bench:cd63c8f1d539565d:message:4,planning,planning,inefficient_plan,inefficient_plan,2,2,agent_error_bench:cd63c8f1d539565d:message:4,planning,impossible_action,True,True,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,cd63c8f1d539565d0ec4fba0ef7e52150b9e8a743c735871691b915d602ff9b8
Qwen3-8B_013_memory_b001_t00_e03-21a3a421,gaia,Qwen3-8B,agent_judge,success,,,4,agent_error_bench:3024500fb1ff4f27:message:8,reflection,reflection,outcome_misinterpretation,outcome_misinterpretation,4,4,agent_error_bench:3024500fb1ff4f27:message:8,reflection,outcome_misinterpretation,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,3024500fb1ff4f272cd14141e56f8cdc6222a550433d9199295608d519041569
Qwen3-8B_014_memory_b001_t00_e04-5e8c1dcf,gaia,Qwen3-8B,agent_judge,success,,,4,agent_error_bench:698a16c72ca24c6e:message:8,reflection,reflection,progress_misjudge,progress_misjudge,4,4,agent_error_bench:698a16c72ca24c6e:message:8,planning,constraint_ignorance,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,698a16c72ca24c6ea88ed4644c3b377884903ff5c2c57721304266cd5cc16e18
Qwen3-8B_015_memory_b001_t00_e05-c9015705,gaia,Qwen3-8B,agent_judge,success,,,2,agent_error_bench:b20f3fb010c07a9f:message:4,reflection,reflection,outcome_misinterpretation,outcome_misinterpretation,2,2,agent_error_bench:b20f3fb010c07a9f:message:4,reflection,outcome_misinterpretation,True,True,True,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,b20f3fb010c07a9f646d065830e16b0a6ea7b8680102d26dace1debc46baebcb
Qwen3-8B_016_memory_b001_t00_e06-71f77595,gaia,Qwen3-8B,agent_judge,success,,,4,agent_error_bench:f7e47be2ac799e02:message:8,reflection,reflection,progress_misjudge,progress_misjudge,4,4,agent_error_bench:f7e47be2ac799e02:message:8,planning,constraint_ignorance,True,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,f7e47be2ac799e0219f5fb638cbf041da852e690266900bc473d94ff0c2a2fdf
Qwen3-8B_017_memory_b001_t00_e07-f5b5d66a,gaia,Qwen3-8B,agent_judge,success,,,2,agent_error_bench:4dc65c30a1caae63:message:4,planning,planning,inefficient_plan,inefficient_plan,3,3,agent_error_bench:4dc65c30a1caae63:message:6,memory,hallucination,False,False,False,,,False,gpt-5.5,,agentdebug.codex-agent-judge.gaia-v3.83-clean-v3.20-model-only-gpt55-medium,4dc65c30a1caae63c707d3c35e8c7e85461af921ecf371d1e7f0872888d63e6d
