run_dir,status,merged_prediction_count,evidence,reason
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p63-clean-v3p20-heterogeneous-critical-boundary-panel-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p63-clean-v3p20-heterogeneous-critical-boundary-panel-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p63-clean-v3p20-heterogeneous-critical-boundary-panel-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p66-clean-v3p20-exact-predicate-acquisition-boundary-reducer-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p66-clean-v3p20-exact-predicate-acquisition-boundary-reducer-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p66-clean-v3p20-exact-predicate-acquisition-boundary-reducer-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p67-clean-v3p20-exact-predicate-acquisition-boundary-reducer-read-only-input-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p67-clean-v3p20-exact-predicate-acquisition-boundary-reducer-read-only-input-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p67-clean-v3p20-exact-predicate-acquisition-boundary-reducer-read-only-input-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p68-clean-v3p20-exact-predicate-acquisition-boundary-reducer-compact-embedded-input-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p68-clean-v3p20-exact-predicate-acquisition-boundary-reducer-compact-embedded-input-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p68-clean-v3p20-exact-predicate-acquisition-boundary-reducer-compact-embedded-input-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p69-clean-v3p20-exact-predicate-acquisition-boundary-reducer-runtime-integrated-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p69-clean-v3p20-exact-predicate-acquisition-boundary-reducer-runtime-integrated-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p69-clean-v3p20-exact-predicate-acquisition-boundary-reducer-runtime-integrated-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p70-clean-v3p20-exact-predicate-acquisition-boundary-reducer-owner-explicit-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p70-clean-v3p20-exact-predicate-acquisition-boundary-reducer-owner-explicit-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p70-clean-v3p20-exact-predicate-acquisition-boundary-reducer-owner-explicit-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p71-clean-v3p20-exact-predicate-acquisition-boundary-reducer-evidence-materialized-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p71-clean-v3p20-exact-predicate-acquisition-boundary-reducer-evidence-materialized-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p71-clean-v3p20-exact-predicate-acquisition-boundary-reducer-evidence-materialized-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p72-clean-v3p20-exact-predicate-acquisition-boundary-reducer-binding-materialized-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p72-clean-v3p20-exact-predicate-acquisition-boundary-reducer-binding-materialized-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p72-clean-v3p20-exact-predicate-acquisition-boundary-reducer-binding-materialized-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p73-clean-v3p20-exact-predicate-acquisition-boundary-reducer-auditor-corrected-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p73-clean-v3p20-exact-predicate-acquisition-boundary-reducer-auditor-corrected-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p73-clean-v3p20-exact-predicate-acquisition-boundary-reducer-auditor-corrected-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p75-clean-v3p20-sparse-ledger-global-boundary-selector-case50,no_frozen_score,50,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p75-clean-v3p20-sparse-ledger-global-boundary-selector-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p75-clean-v3p20-sparse-ledger-global-boundary-selector-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p77-clean-v3p20-factorized-sparse-ledger-pairwise-selector-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p77-clean-v3p20-factorized-sparse-ledger-pairwise-selector-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p77-clean-v3p20-factorized-sparse-ledger-pairwise-selector-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p79-clean-v3p20-outcome-conditioned-predicate-handoff-tournament-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p79-clean-v3p20-outcome-conditioned-predicate-handoff-tournament-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-paper-v1-agent-judge-luna-gaia-v3p79-clean-v3p20-outcome-conditioned-predicate-handoff-tournament-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v2-case30,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v2-case30/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v2-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p5-case30,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p5-case30/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p5-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p7-case30,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p7-case30/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-gaia-v3p7-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-v3-baseline-case30,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-v3-baseline-case30/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-gaia-smoke-v1-agent-judge-luna-v3-baseline-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v4-case30,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v4-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v1,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v1/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v1/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v13-unified-v1-case30,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v13-unified-v1-case30/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v13-unified-v1-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v15-unified-v1-case30,no_frozen_score,30,"[""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v15-unified-v1-case30/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v15-unified-v1-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v3-serial-v1-case30,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v3-serial-v1-case30/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v3-serial-v1-case30/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-sol-gaia-paper-v1-agent-judge-gaia-v3p81-clean-v3p20-model-only-sol-medium-case50,no_frozen_score,,"[""output/agenterrorbench-codex-gpt-5.6-sol-gaia-paper-v1-agent-judge-gaia-v3p81-clean-v3p20-model-only-sol-medium-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-sol-gaia-paper-v1-agent-judge-gaia-v3p81-clean-v3p20-model-only-sol-medium-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-gpt-5.6-sol-high-gaia-paper-v1-agent-judge-specialist-critic-v1-case50,invalid-exhausted-retries-not-scored,,"[""output/agenterrorbench-codex-gpt-5.6-sol-high-gaia-paper-v1-agent-judge-specialist-critic-v1-case50/run-result.json"", ""output/agenterrorbench-codex-gpt-5.6-sol-high-gaia-paper-v1-agent-judge-specialist-critic-v1-case50/execution-summary.json"", ""output/agenterrorbench-codex-gpt-5.6-sol-high-gaia-paper-v1-agent-judge-specialist-critic-v1-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-codex-sol-luna-gaia-paper-v1-agent-judge-serial-v1-case50,no_frozen_score,,"[""output/agenterrorbench-codex-sol-luna-gaia-paper-v1-agent-judge-serial-v1-case50/execution-summary.json"", ""output/agenterrorbench-codex-sol-luna-gaia-paper-v1-agent-judge-serial-v1-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-4.1-gaia-paper-v1-agent-judge-strict-v8-paper50-v1-case50,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-4.1-gaia-paper-v1-agent-judge-strict-v8-paper50-v1-case50/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-4.1-gaia-paper-v1-agent-judge-strict-v8p1-paper50-v1-case50,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-4.1-gaia-paper-v1-agent-judge-strict-v8p1-paper50-v1-case50/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v4-agent-judge-multiscout-v6-case8,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v4-agent-judge-multiscout-v6-case8/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v5-agent-judge-coverage-v7-case8,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v5-agent-judge-coverage-v7-case8/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v7-agent-judge-causal-v9-case8,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v7-agent-judge-causal-v9-case8/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v8-agent-judge-causal-v10-case8,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v8-agent-judge-causal-v10-case8/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v9-agent-judge-atom-v11-case8,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-4.1-gaia-step-error-gate-v9-agent-judge-atom-v11-case8/experiment-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p104-v3p83-codex-sdk-transport-case50,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p104-v3p83-codex-sdk-transport-case50/execution-summary.json"", ""output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p104-v3p83-codex-sdk-transport-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p106-v3p83-responses-api-transport-case50,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p106-v3p83-responses-api-transport-case50/execution-summary.json"", ""output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p106-v3p83-responses-api-transport-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p108-v3p83-responses-validator-closure-case50,no_frozen_score,,"[""output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p108-v3p83-responses-validator-closure-case50/execution-summary.json"", ""output/agenterrorbench-sophnet-gpt-5.5-gaia-paper-v1-agent-judge-gaia-v3p108-v3p83-responses-validator-closure-case50/tuning-plan.json""]",未找到本轮正式metrics；不补算、不把部分输出当正式结果
